mode,id,memory_used,timestamp,init,billed,memory_max,duration
interactive,34469740570662175388608106836116972850391297748612022326,48,1545676624875,,100,256,16.89
interactive,34469721515143718893359774450501101078430528102050431003,50,1545675770396,,100,256,23.45
embedded,34469844286432726830065484152811527556882770720649052235,83,1545681275651,,100,256,21.5
interactive,34469751478848681797877110883407497628365402087608811540,48,1545677114015,,100,256,19.95
interactive,34469740548829745839246626780553504661468551834257195053,48,1545676623896,,100,256,26.72
interactive,34469740503336225634244155571820639385265894362057146395,48,1545676621856,,100,256,23.79
embedded,34469864306904428065733879935899081904026955895059120184,83,1545682173400,,100,256,29.31
interactive,34469732419449895638084450064609410166809456489800794148,48,1545676259362,,100,256,57.11
embedded,34469884027364204145569802569320828287019780224041549870,86,1545683057696,,100,256,29.88
interactive,34469716246168951581727975132180659045806654754049884223,48,1545675534127,,100,256,47.18
embedded,34469878500838130536107836579955024288457246193011064890,84,1545682809878,,100,256,23.72
embedded,34469846975032868710115940872619804602661023225591955491,84,1545681396212,,100,256,8.43
embedded,34469844236925072489327500778602232991603408177372528699,83,1545681273431,,100,256,22.54
embedded,34469864358196142022354313161431233931118187358814077001,83,1545682175700,,100,256,24.38
embedded,34469841293672721187255858404873050781171213214289428508,87,1545681141451,,100,256,35.1
embedded,34469841425202516368189473693650717153251249376561922119,87,1545681147349,,100,256,18.68
embedded,34469867322366592320647680042555851940700046009231736940,81,1545682308618,,100,256,15.48
interactive,34469735141188944883151412770956511441509995454327685131,49,1545676381409,504.41,700,256,134.65
embedded,34469856039126153162490655989966006085610490800781656123,82,1545681802660,,100,256,49.18
interactive,34469735297316462018064305384848075068321174357696577607,50,1545676388410,,100,256,37.36
embedded,34469846929472446269517877794462332171640420668873965585,84,1545681394169,,100,256,27.1
embedded,34469875558009493392808276046789830909141089514967793680,84,1545682677917,,100,256,9.46
embedded,34469864563340697103637515440418306321210464852327923820,83,1545682184899,,100,256,48.89
interactive,34469724163089602276488905175100152579690566670859042832,48,1545675889134,,100,256,45.28
embedded,34469850102913089510822612243831327478006319499469652040,84,1545681536471,,100,256,22.77
interactive,34469740614862252372095801902640766466780350253465206857,48,1545676626857,,100,256,42.57
interactive,34469759743125739704951026988503052541395601471020859425,48,1545677484598,,100,256,74.19
embedded,34469850028406299802531800327960492729088143707989082158,84,1545681533130,,100,256,18.61
interactive,34469718977095907848589554566188160203162204740051861585,48,1545675656586,,100,256,56.09
interactive,34469748676046423756151333058325655013995470316937478152,48,1545676988333,438.89,500,256,55.28
interactive,34469735319594906471396397903242257622696887502171013199,50,1545676389409,,100,256,21.85
interactive,34469748854965302483962522522866722715453274679418355786,48,1545676996356,,100,256,11.88
embedded,34469855906615125192821693282960768109533926732246024208,82,1545681796718,,100,256,5.31
interactive,34469756936175543056298553258875559116069169482544119834,49,1545677358730,,100,256,21.77
embedded,34469858904125189562918341757609175404806931913922379841,83,1545681931131,,100,256,12.73
interactive,34469724318325089603460572863330287475595811113988718668,48,1545675896095,,100,256,13.55
embedded,34469861749231961246256711686830492093812836421542281326,83,1545682058710,,100,256,41.5
interactive,34469743348933613711950199205895265038887058339911696435,48,1545676749457,,100,256,8.87
interactive,34469743236114143752583776732866066297558997481156771848,48,1545676744398,495.85,600,256,97.31
interactive,34469729603780107616806502680044539791451083797680160840,49,1545676133103,,100,256,35.59
interactive,34469691427625018646600418324593426878228869004445220935,48,1545674421225,,100,256,37.61
interactive,34469745912136665340662961991604195866197403162277511185,48,1545676864395,,100,256,22.72
embedded,34469864406789465809952540986837564047218967080345403483,83,1545682177879,,100,256,28.85
embedded,34469870101485458961533936093668416210260626085325963340,83,1545682433238,,100,256,36.45
interactive,34469691337530008044536700832789125056729488520284340261,48,1545674417185,,100,256,21.57
embedded,34469872727799619502088362379074398128305394209044496395,83,1545682551006,1018.31,1100,256,6.55
embedded,34469864587001787759278506612786275870035466637434290183,83,1545682185960,,100,256,20.46
interactive,34469748833065970699005450597878647371712583680545587266,48,1545676995374,,100,256,12.61
embedded,34469844165518086363632445479404863082583354635223236642,83,1545681270229,,100,256,61.68
interactive,34469757089626970767387771095782836550162545005195362392,49,1545677365611,,100,256,6.45
interactive,34469759810072576790939957659393278795885982711974068285,48,1545677487600,,100,256,50.54
embedded,34469861582801499829622671181549426625038114502410436659,83,1545682051247,,100,256,24.83
interactive,34469721465591463062224729830008735076605868835761946635,50,1545675768174,457.33,600,256,73.77
embedded,34469841270502246925982540960817439495889565609575776275,87,1545681140412,,100,256,63.44
interactive,34469759877844541449274521386520326626464353328648552536,48,1545677490639,,100,256,64.88
interactive,34469735208537195382713894658394380624908047202388541478,50,1545676384429,,100,256,44.49
interactive,34469724184498317667078303390974442121432993716600242200,48,1545675890094,,100,256,10.22
embedded,34469883929709240921204203832535917971092605189353308179,86,1545683053317,,100,256,50.2
embedded,34469870052869834428737177645120550375887198002288656444,83,1545682431058,,100,256,25.96
embedded,34469844190048906082016130935094153182496552291801694250,83,1545681271329,,100,256,26.58
interactive,34469721558808577992082734561628037456276019930760085548,50,1545675772354,,100,256,13.17
interactive,34469743258347986715518808004977177415389413902619246609,48,1545676745395,,100,256,35.47
embedded,34469864234627712877296130334181818982373616254176591910,83,1545682170159,973.77,1000,256,5.1
interactive,34469762518230472210101770873002232751374503974125895706,49,1545677609038,,100,256,40.07
embedded,34469892377075416908214535939753524328104082683990507554,83,1545683432110,,100,256,41.65
embedded,34469892402096853020965895104556600230015544293700534315,83,1545683433232,,100,256,22.55
interactive,34469732396257120631612601997412263163255160523581161500,48,1545676258322,,100,256,26.29
embedded,34469889708635148687635762539913475585471808072428748903,84,1545683312453,,100,256,14.35
interactive,34469759719955265443677709544447441256113953866307207194,48,1545677483559,,100,256,56.07
embedded,34469881228509178003983945043541422254647007466636968007,81,1545682932191,,100,256,47.65
interactive,34469765374175406059926023651039466054818260226623406090,48,1545677737103,526.68,700,256,108.47
embedded,34469850003429465180177502409440488263721978821291016229,84,1545681532010,,100,256,16.76
embedded,34469869978385345465644896352391251345241670572314066979,83,1545682427718,,100,256,20.85
embedded,34469852983857158728199693563459857874087843630058176568,83,1545681665657,,100,256,38
embedded,34469846999073072034131952619195308900575956929038843947,84,1545681397290,,100,256,52.01
embedded,34469884128185873188126749792203810597663022592579010641,86,1545683062217,,100,256,84.14
interactive,34469721689981561249839859880141132335993682308936892503,50,1545675778236,,100,256,33.91
interactive,34469762652458657560057591561905721034444991878622019662,49,1545677615057,,100,256,50.45
interactive,34469757002185748843949197757821285203108319540246151221,49,1545677361690,,100,256,36.96
interactive,34469754196818905104392398270898263991594132679682752558,48,1545677235893,,100,256,11.59
embedded,34469858671706823103832187376523919567265708298594484236,83,1545681920709,768.37,800,256,2.98
interactive,34469737970707495672716877112673507516200575799078879313,48,1545676508289,,100,256,19.99
interactive,34469762540999533057801537100510201107748481071731900449,49,1545677610059,,100,256,48.11
embedded,34469844079481811387701301399360061986705975945150791688,83,1545681266371,766.82,800,256,25.88
embedded,34469858994666215068952671712244191591759279628202868819,83,1545681935191,,100,256,16.56
embedded,34469878547669695453022145177180032661018805355569938507,84,1545682811978,,100,256,23.33
interactive,34469751500703412092437121562112501535560796363469619229,48,1545677114995,,100,256,8.86
embedded,34469886991155541775488148858325764874675440551430258776,87,1545683190597,,100,256,12.1
interactive,34469729444575087644496384072621047043014431006485970955,49,1545676125964,537.77,700,256,95.2
embedded,34469872844722426577984419510146169031800753584899817527,83,1545682556249,,100,256,3.19
interactive,34469718920518917279917363656112042945453311599379546175,48,1545675654049,,100,256,67.93
embedded,34469884154500752522392885099215958159388089169635901530,86,1545683063397,,100,256,31.18
embedded,34469889527976811834339184470332621858747431512481398827,84,1545683304352,,100,256,6.8
embedded,34469844260117847495799348845799379995157704143592161347,83,1545681274471,,100,256,4.62
interactive,34469732489496536306669137352173101261197959980085280831,48,1545676262503,,100,256,18.43
embedded,34469838537233712413275246091475434486728863696888463385,81,1545681017848,,100,256,28.94
interactive,34469735186281051674580332763141733788804982419420086301,50,1545676383431,,100,256,2.21
embedded,34469861559564123332753761868069208184938521813178843178,83,1545682050205,,100,256,33.37
embedded,34469878380860121368013084078492859981609061290836426769,84,1545682804498,,100,256,23.79
embedded,34469883959123923838066095756221530372715794015741476892,86,1545683054636,,100,256,21.05
embedded,34469870002916165184028581808080541445154868228892524588,83,1545682428818,,100,256,37.96
interactive,34469740638501042282538262432668627835787613449804447825,48,1545676627917,,200,256,105.44
embedded,34469861631840838521191511469786471106591861454061371460,83,1545682053446,,100,256,82.36
interactive,34469745934013696380421503293450735491665445799644299289,48,1545676865376,,100,256,7.69
embedded,34469861726395998162961353589897916582620914239418335332,83,1545682057686,,100,256,9.95
interactive,34469735253116385034576610318324281451932121852843393079,50,1545676386428,,100,256,54.77
interactive,34469751636760258548672453348621918716988449911456137297,48,1545677121096,,100,256,2.48
interactive,34469768187994232229725929307374781556207376644893179933,50,1545677863279,,100,256,23.17
interactive,34469726945330573245169448456623754622499502376446001224,49,1545676013894,,100,256,32.12
interactive,34469724250954538358699560352750882573925111004421881907,48,1545675893074,,100,256,13.36
embedded,34469867243823367731422825338067052184432516785168711763,81,1545682305096,,100,256,42.25
interactive,34469768306589595195511783174061731330151363133697032263,50,1545677868597,,100,256,51.64
embedded,34469875748903872292230410138335579323011064006160154710,84,1545682686477,,100,256,54.25
embedded,34469838671528799998826658649803529924617296685902528582,81,1545681023870,,100,256,21.22
embedded,34469861535523920008737750121493703887023588109731954721,83,1545682049127,1040.66,1100,256,11.56
interactive,34469726878450638394776109655158135522827066220010733614,49,1545676010895,,100,256,14.13
embedded,34469853111863436167765470395874880759089438674385764441,83,1545681671397,,100,256,34.19
embedded,34469886944323976858573840261100756502113881388871385159,87,1545683188497,,100,256,2.9
interactive,34469743425625876449697012189636600178524773558978347087,48,1545676752896,,100,256,57.51
embedded,34469892426181657835378968097415175964475774720159383604,83,1545683434312,,100,256,21.48
embedded,34469875702518322279286714003941285315902472073720889413,84,1545682684397,,100,256,30.24
interactive,34469759670871325261711808009927325338014910191644311560,48,1545677481358,492.62,600,256,94.81
embedded,34469869953854525747261210896701961245328472915735609369,83,1545682426618,,100,256,36.41
embedded,34469875580800854985706572897439334983787714974079778840,84,1545682678939,,100,256,11.73
embedded,34469881299893863384480469719597256445394412647280279649,81,1545682935392,,100,256,15.44
interactive,34469716199805702313982809620927900756970711183116599341,48,1545675532048,,100,256,28.11
embedded,34469892472990922007094746071498648618764685521212276806,83,1545683436411,,100,256,3.26
embedded,34469889577462165429878637221400380705754145694251941947,84,1545683306571,,100,256,40.1
interactive,34469765441947370718260587378166513885396630843297890341,48,1545677740142,,100,256,19.85
embedded,34469861678672403438105820067011479479153420616620245077,83,1545682055546,,100,256,17.65
embedded,34469878404944926182426157071351435716069291717295276058,84,1545682805578,,100,256,26.12
interactive,34469768139356306951730640235685380003561300200349892619,50,1545677861098,504.27,600,256,74.27
embedded,34469841448417592119859852383989399875078193704287535183,87,1545681148390,,100,256,9.78
interactive,34469751593452211373125983207759553831505331866842169408,48,1545677119154,,100,256,25.39
embedded,34469878357622744871144174765012641541509468601604833288,84,1545682803456,1031.61,1100,256,22.9
embedded,34469883987267464278611742160839606832798026236288761893,86,1545683055898,,100,256,40.65
interactive,34469743371234358910480822347430983311535419845892112445,48,1545676750457,,100,256,34.2
embedded,34469838593453891058770947031286980252075383053465092139,81,1545681020369,,100,256,35.34
embedded,34469878571709898777038156923755536958933739059016826963,84,1545682813056,,100,256,28.22
embedded,34469889477086511291292302461348112760563870555834089497,84,1545683302070,817.91,900,256,37.17
interactive,34469762607009738845452181599455927194787631129433931836,49,1545677613019,,100,256,5.23
interactive,34469740481013179690515001807143385394344884494570749971,48,1545676620855,,100,256,29.67
embedded,34469867190346180745346391044664399766621745893827674179,81,1545682302698,,100,256,20.75
embedded,34469872894118577192729749768647785005716874320646438986,83,1545682558464,,100,256,54.16
interactive,34469721612798682117725373187286011394357703136738672701,50,1545675774775,,100,256,23.48
interactive,34469691268843712833062381556859112776972535081864658954,48,1545674414105,513.35,700,256,134.99
embedded,34469856121192895493083349150817449328956461142789587027,82,1545681806340,,100,256,17.25
interactive,34469718820098661650933967649776703563717739737949732893,48,1545675649546,,100,256,31.9
embedded,34469878476262709327327089877982662751998751813420646451,84,1545682808776,,100,256,40.07
interactive,34469718945919466061043743414321226057999795354691240008,48,1545675655188,,100,256,19.64
interactive,34469746000960533466410433964340961746155827040597508147,48,1545676868378,,100,256,21.85
interactive,34469762563300278256332160242045919380396842577712316459,49,1545677611059,,100,256,40.18
embedded,34469867164923331219021480663313680935802613777009999931,81,1545682301558,,100,256,27.74
interactive,34469724229122108809338080297187414385002365090067054635,48,1545675892095,,100,256,4.06
interactive,34469726923029828046638825315088036349851140870465585214,49,1545676012894,,100,256,37.6
interactive,34469691315206962100807547068111871065808478652797943835,48,1545674416184,,100,256,19.36
embedded,34469867084640648504311237353785095154268512355480502306,81,1545682297958,988.84,1100,256,27.19
embedded,34469875603971329246979890341494946269069362578793431074,84,1545682679978,,100,256,30.72
embedded,34469872752285837730074986588480616791673295142610993172,83,1545682552104,,100,256,22.34
embedded,34469881204468974679967933296965917956732073763190079551,81,1545682931113,,100,256,14.59
embedded,34469855959267184606552494520126598951256708247865786402,82,1545681799079,,100,256,40.37
interactive,34469737790093760309817360289375725226021495962143490059,48,1545676500190,501.79,600,256,74.61
interactive,34469729536900172766413163878578920691778647641244893230,49,1545676130104,,100,256,5.89
embedded,34469838706317962508534430750599250429948740635231977551,81,1545681025430,,100,256,34.49
interactive,34469729559178617219745256396973103246154360785719328823,49,1545676131103,,100,256,53.37
interactive,34469732511351266601229148030878105168393354255946088519,48,1545676263483,,100,256,8.71
interactive,34469729581501663163474410161650357237075370653205725248,49,1545676132104,,100,256,45.76
embedded,34469872774631184419002670976299406500866953371603370013,83,1545682553106,,100,256,12.24
embedded,34469878453092235066053772433927051466717104208706994219,84,1545682807737,,100,256,73.02
interactive,34469748697477439891939261897341480274010545724184657936,48,1545676989294,,100,256,22.72
interactive,34469732374402390337052591318707259256059766247720353812,48,1545676257342,,100,256,20.3
interactive,34469716153420152301039113486533606749862119250677334044,48,1545675529968,,100,256,16.64
embedded,34469881252593982818397018036399997989107237893095817297,81,1545682933271,,100,256,63.79
interactive,34469759854651766442802673319323179622910057362428919887,48,1545677489599,,100,256,28.96
embedded,34469838741530839177014284691084149582460503453175054424,81,1545681027009,,100,256,71.83
interactive,34469756914298512016540011957029019490601126845177331731,49,1545677357749,,100,256,29.57
interactive,34469743402879116347195776585270167540423444822878322758,48,1545676751876,,100,256,65.27
interactive,34469716130205076549368734796194924028035174922951720980,48,1545675528927,,100,256,20.84
embedded,34469853080218678731050516158035696530201413697399554129,83,1545681669978,,100,256,8.63
embedded,34469841400671696649805788237961427053338051719983464511,87,1545681146249,,100,256,29.85
embedded,34469847114613232907719111115491865271167117891523379287,84,1545681402471,,100,256,2.54
embedded,34469886921554916010874074033592788145739904291265380414,87,1545683187476,,100,256,57.94
embedded,34469872820994433686747836487552164789702896942536654895,83,1545682555185,,100,256,24.11
interactive,34469754152239715452529682610968363164570058029227900957,48,1545677233894,,100,256,41.44
embedded,34469892450221861159394979843990680262390708423606272061,83,1545683435390,,100,256,35.53
embedded,34469864382258646091568855531148273947305769423766945873,83,1545682176779,,100,256,25.5
interactive,34469740526975015544686616101848500754273157558396387364,48,1545676622916,,100,256,93.93
interactive,34469746022748361525374852773621358498533276231940374588,48,1545676869355,,100,256,21.42
embedded,34469864276575414595732232463410505053225184246925754415,83,1545682172040,,100,256,37.09
interactive,34469751456570237344545018365013315073989688943134375947,48,1545677113016,431.56,500,256,57.68
embedded,34469849965495897597476912445688231481947115899618328604,84,1545681530309,,100,256,52.51
interactive,34469691450371778749101653928959859516330197740545245264,48,1545674422245,,100,256,26.89
interactive,34469735274993416074335151620170821077400164490210181183,50,1545676387409,,100,256,22.28
interactive,34469718888851859098003878795131322998292638260887355446,48,1545675652629,,100,256,36.23
interactive,34469765557911245750619827714152248903168110674396053583,48,1545677745342,,100,256,31.04
embedded,34469889551637902489980175623502018946027343070326620210,84,1545683305413,,100,256,2.49
embedded,34469852933925790228689628349561384661628162218168025134,83,1545681663418,,100,256,11.07
interactive,34469737904251274981095620150897067063708458511257239606,48,1545676505309,,100,256,67.88
embedded,34469858793491192633007920352450477054198410482753536039,83,1545681926170,,100,256,26.95
interactive,34469737859203769680063761404994916152958768269176799269,48,1545676503289,,100,256,47.42
embedded,34469884075087798870425336092207265390487273846839640124,86,1545683059836,,100,256,22.16
embedded,34469870076976939988348781261120661828620076790253486147,83,1545682432139,,100,256,6.37
interactive,34469726900729082848108202173552318077202779364485169205,49,1545676011894,,100,256,37.07
interactive,34469748767524080560523949184905171368399049214469144617,48,1545676992435,,100,256,34.33
embedded,34469889503445992115955499014643331758834233855902941219,84,1545683303252,,100,256,3.52
interactive,34469743447502907489455553491483139803992816196345135191,48,1545676753877,,100,256,20.72
